rank,team,elo_rating,rating_date,source,source_original
53,Georgia,1654,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
54,Jordan,1653,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
55,Dem. Rep. of Congo,1652,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
56,Israel,1647,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
57,Romania,1639,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
58,Bolivia,1621,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
59,Albania,1616,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
59,Bosnia and Herzegovina,1616,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
61,Cameroon,1614,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
62,Costa Rica,1608,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
63,Cape Verde,1606,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
64,Northern Ireland,1605,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
65,Saudi Arabia,1598,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
66,Iraq,1592,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
67,North Macedonia,1589,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
68,Mali,1588,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
69,Tunisia,1585,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
70,New Zealand,1578,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
71,Honduras,1570,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
72,Iceland,1568,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
73,Angola,1542,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
74,United Arab Emirates,1540,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
75,Haiti,1536,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
75,Finland,1536,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
77,Burkina Faso,1529,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
78,Jamaica,1527,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
79,Belarus,1522,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
80,South Africa,1511,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
81,Ghana,1510,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
82,Guatemala,1504,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
83,Oman,1480,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
84,Syria,1479,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
85,Palestine,1465,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
86,Guinea,1463,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
87,Montenegro,1461,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
88,Bulgaria,1458,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
89,Northern Cyprus,1457,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
90,Luxembourg,1450,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
91,Qatar,1447,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
